City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,5.57,89,32,0.89,NZ,1728579195
1,sungai penuh,-2.0833,101.3833,19.14,93,56,1.51,ID,1728579196
2,waitangi,-43.9535,-176.5597,6.01,86,73,5.41,NZ,1728578599
3,sinop,41.7711,34.8709,14.6,90,24,1.02,TR,1728579199
4,chonchi,-42.6128,-73.8092,11.73,98,100,1.13,CL,1728579200
5,tugulym,57.0591,64.6425,-2.47,92,100,5.78,RU,1728579201
6,talnakh,69.4865,88.3972,-8.38,93,95,4.96,RU,1728578606
7,port nelson,23.6333,-74.8333,29.16,81,84,9.15,BS,1728579203
8,isafjordur,66.0755,-23.124,2.02,80,100,6.17,IS,1728579204
9,thompson,55.7435,-97.8558,8.09,87,75,3.6,CA,1728579161
10,iqaluit,63.7506,-68.5145,2.85,69,40,2.06,CA,1728579206
11,papatowai,-46.5619,169.4708,5.95,86,13,2.48,NZ,1728579207
12,adamstown,-25.066,-130.1015,20.86,86,100,7.45,PN,1728579208
13,hawaiian paradise park,19.5933,-154.9731,23.28,94,100,0.0,US,1728579209
14,klaksvik,62.2266,-6.589,4.69,67,100,7.18,FO,1728579210
15,constantia,44.1833,28.65,19.38,61,0,2.53,RO,1728579212
16,bilibino,68.0546,166.4372,-15.62,97,56,1.73,RU,1728579213
17,udachny,66.4167,112.4,-14.38,100,91,1.06,RU,1728579214
18,bredasdorp,-34.5322,20.0403,15.6,67,100,4.98,ZA,1728579215
19,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,69,0,2.0,RU,1728579216
20,mar del plata,-38.0023,-57.5575,20.01,71,75,4.63,AR,1728578553
21,bethel,41.3712,-73.414,15.57,53,20,5.14,US,1728578930
22,ushuaia,-54.8,-68.3,6.81,65,40,10.8,AR,1728579142
23,rayon,19.1444,-99.5836,17.83,32,88,1.22,MX,1728579220
24,sao vicente,-23.9631,-46.3919,22.98,35,100,2.24,BR,1728578988
25,kapuskasing,49.4169,-82.4331,11.0,71,20,4.63,CA,1728579222
26,bikenibeu village,1.3673,173.1241,26.98,83,40,1.03,KI,1728578761
27,fada,7.25,4.0667,25.2,91,63,2.05,NG,1728579224
28,kavaratti,10.5669,72.642,26.14,89,100,6.93,IN,1728579226
29,homer,59.6425,-151.5483,3.76,92,100,0.0,US,1728579227
30,turaif,31.6725,38.6637,28.14,13,0,3.09,SA,1728579228
31,dudinka,69.4058,86.1778,-6.37,92,87,6.1,RU,1728579229
32,grytviken,-54.2811,-36.5092,-0.43,93,68,1.08,GS,1728579230
33,buenos aires,-34.6132,-58.3772,20.91,69,40,9.39,AR,1728578872
34,puerto cabezas,14.0351,-83.3888,27.98,89,75,2.06,NI,1728579232
35,khandyga,62.6667,135.6,-0.65,76,100,2.86,RU,1728579233
36,hithadhoo,-0.6,73.0833,27.74,77,100,8.49,MV,1728579234
37,port alfred,-33.5906,26.891,17.88,92,74,2.68,ZA,1728582368
38,tura,25.5198,90.2201,22.53,93,6,1.21,IN,1728582258
39,tralee,52.2704,-9.7026,6.87,77,13,1.96,IE,1728582372
40,auki,-8.7676,160.7034,24.26,91,55,1.13,SB,1728582373
41,lebu,-37.6167,-73.65,13.84,72,68,2.98,CL,1728582374
42,happy valley-goose bay,53.3168,-60.3315,10.17,87,75,2.57,CA,1728582376
43,saipan,15.1355,145.701,28.39,83,20,2.06,MP,1728582377
44,atafu village,-8.5421,-172.5159,28.02,77,71,4.96,TK,1728582343
45,villa gesell,-37.2639,-56.973,17.71,66,100,9.87,AR,1728582203
46,al mayadin,35.0209,40.4535,29.67,13,1,3.32,SY,1728582380
47,zaltan,32.947,11.8665,29.19,59,30,4.92,LY,1728582381
48,ust-nera,64.5667,143.2,-7.62,81,95,1.98,RU,1728582382
49,tiksi,71.6872,128.8694,-7.28,93,100,1.94,RU,1728582384
50,hermanus,-34.4187,19.2345,14.89,78,87,5.86,ZA,1728582385
51,georgetown,5.4112,100.3354,26.96,88,20,1.03,MY,1728582169
52,east london,-33.0153,27.9116,17.52,88,75,9.77,ZA,1728582387
53,san patricio,28.017,-97.5169,31.97,31,2,1.71,US,1728582388
54,ilulissat,69.2167,-51.1,1.01,47,20,3.09,GL,1728582390
55,sunnyside,46.3237,-120.0087,12.1,62,0,0.0,US,1728582392
56,iskateley,67.6803,53.1512,-2.87,83,9,6.37,RU,1728582393
57,san antonio de pale,-1.4014,5.6325,24.75,79,74,3.84,GQ,1728582394
58,west island,-12.1568,96.8225,25.99,83,20,7.72,CC,1728582395
59,nar'yan-mar,67.6713,53.087,-2.88,83,9,6.42,RU,1728582396
60,gaiman,-43.2897,-65.4929,20.11,29,97,2.92,AR,1728582397
61,mastic beach,40.7668,-72.8521,16.1,58,0,5.66,US,1728582398
62,al miqdadiyah,33.9786,44.9369,30.59,12,0,3.53,IQ,1728582399
63,port-aux-francais,-49.35,70.2167,2.62,83,94,15.15,TF,1728582400
64,terrace,54.5163,-128.6035,6.95,100,75,2.57,CA,1728582164
65,college,64.8569,-147.8028,-0.52,89,100,2.57,US,1728582403
66,rio grande,-32.035,-52.0986,16.92,88,100,10.44,BR,1728582405
67,barkhan,29.8977,69.5256,21.75,24,0,0.86,PK,1728582249
68,sibut,5.718,19.0739,23.16,90,97,0.67,CF,1728582408
69,tena,-0.9833,-77.8167,29.09,59,99,1.63,EC,1728582409
70,severomorsk,69.0689,33.4162,3.16,80,100,7.48,RU,1728582410
71,kolosovka,56.4678,73.611,-0.15,58,100,6.03,RU,1728582411
72,margaret river,-33.95,115.0667,13.14,58,18,4.84,AU,1728582412
73,berdigestyakh,62.0989,126.6992,0.09,99,100,1.13,RU,1728582413
74,tazovsky,67.4667,78.7,-2.17,87,98,8.24,RU,1728582414
75,boa esperanca,-21.09,-45.5658,29.45,44,100,1.82,BR,1728582415
76,anadyr,64.75,177.4833,0.28,74,75,9.0,RU,1728582417
77,olonkinbyen,70.9221,-8.7187,-3.08,86,100,17.7,SJ,1728582418
78,sitka,57.0531,-135.33,7.94,76,100,5.14,US,1728582214
79,arraial do cabo,-22.9661,-42.0278,21.98,100,100,9.26,BR,1728582420
80,el calafate,-50.3408,-72.2768,7.57,53,30,0.81,AR,1728582317
81,albany,42.6001,-73.9662,12.54,59,56,2.68,US,1728582199
82,geraldton,-28.7667,114.6,19.23,72,5,6.17,AU,1728582423
83,mount gambier,-37.8333,140.7667,7.38,79,20,2.06,AU,1728582424
84,vila franca do campo,37.7167,-25.4333,22.23,87,38,11.37,PT,1728582425
85,molochnyy,68.8539,33.0205,3.31,81,75,5.0,RU,1728582427
86,st. john's,47.5649,-52.7093,13.87,93,75,3.09,CA,1728582428
87,ndele,8.4109,20.6473,22.68,93,38,0.75,CF,1728582318
88,longyearbyen,78.2186,15.6401,4.91,70,75,9.26,SJ,1728582432
89,manavalakurichi,8.1333,77.3,24.91,89,92,6.85,IN,1728582433
90,wailua homesteads,22.0669,-159.378,25.44,94,75,6.17,US,1728582434
91,warwick,41.7001,-71.4162,16.36,52,40,5.14,US,1728582208
92,ixtapa,20.7,-105.2,30.68,74,20,3.6,MX,1728582436
93,calvi,42.5,8.8333,16.35,63,20,9.77,FR,1728582437
